location,Longitude float,Latitude float,geometry
2531 LAKE SHORE BLVD W,-79.4873,43.610073,POINT (-79.48729705810547 43.61007308959961)
118 GOTHIC AVE,-79.46896,43.656223,POINT (-79.46896362304688 43.65622329711914)
259 DELORAINE AVE,-79.41404,43.73176,POINT (-79.41403961181641 43.73175811767578)
50 QUEBEC AVE,-79.46808,43.65445,POINT (-79.46807861328125 43.65444946289063)
305 SHAW ST,-79.41826,43.65042,POINT (-79.41825866699219 43.65042114257813)
121 SCOLLARD ST,-79.392715,43.671535,POINT (-79.39271545410156 43.67153549194336)
128 MOUNTJOY AVE,-79.32702,43.681095,POINT (-79.32701873779297 43.68109512329102)
2468 EGLINTON AVE W,-79.46814,43.692028,POINT (-79.4681396484375 43.6920280456543)
110 CHARLES ST E,-79.380554,43.670086,POINT (-79.38055419921875 43.67008590698242)
49 HAZELTON AVE,-79.39341,43.672337,POINT (-79.39340972900391 43.67233657836914)
28 HOLBORNE AVE,-79.32473,43.693504,POINT (-79.32472991943359 43.69350433349609)
235 DELORAINE AVE,-79.41335,43.73192,POINT (-79.41335296630859 43.73191833496094)
1340 DANFORTH ROAD,-79.24575,43.743477,POINT (-79.24575042724609 43.74347686767578)
51 HAZELTON AVE,-79.39342,43.67241,POINT (-79.39341735839844 43.67240905761719)
325 QUEBEC AVE,-79.47017,43.661587,POINT (-79.47016906738281 43.66158676147461)
98 FORT YORK BLVD,-79.39714,43.63991,POINT (-79.39714050292969 43.63991165161133)
14 MEADOW AVE,-79.28348,43.681988,POINT (-79.28347778320313 43.68198776245117)
25 ST MARY ST,-79.38771,43.667957,POINT (-79.38771057128906 43.6679573059082)
88 CHARLES ST E,-79.38152,43.669907,POINT (-79.38152313232422 43.66990661621094)
15 WEBSTER AVE,-79.39496,43.6737,POINT (-79.39495849609375 43.67369842529297)
1 MEADOW AVE,-79.28373,43.681557,POINT (-79.28372955322266 43.68155670166016)
70 DAN LECKIE WAY,-79.39811,43.638897,POINT (-79.39810943603516 43.63889694213867)
517 QUEBEC AVE,-79.472305,43.66671,POINT (-79.47230529785156 43.66670989990234)
366 VICTORIA PARK AVE,-79.28406,43.680172,POINT (-79.2840576171875 43.68017196655273)
1 SNIDER AVE,-79.46068,43.693794,POINT (-79.46067810058594 43.69379425048828)
2155 LAWRENCE AVE E,-79.28544,43.74708,POINT (-79.28543853759766 43.7470817565918)
1344 GERRARD ST E,-79.324646,43.671886,POINT (-79.32464599609375 43.6718864440918)
204 WILTSHIRE AVE,-79.45413,43.6725,POINT (-79.45413208007813 43.67250061035156)
